Subzone,Planning Area,Population,Population_Males,Population_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
KAMPONG JAVA,Kallang,10530.0,5140.0,5390.0,8220,3980,4230,330,150,180,1580,830,750,400,170,230
KAMPONG TIONG BAHRU,Bukit Merah,9000.0,4440.0,4560.0,6900,3390,3510,960,520,440,930,470,470,220,80,140
KAMPONG UBI,Geylang,11800.0,5890.0,5910.0,8110,4030,4080,2340,1180,1150,1030,540,480,330,130,190
KANGKAR,Hougang,32280.0,15740.0,16540.0,26340,12870,13470,2470,1190,1280,2730,1380,1350,750,310,440
KATONG,Marine Parade,9350.0,4440.0,4910.0,8050,3760,4290,110,60,60,650,340,310,550,290,250
KEAT HONG,Choa Chu Kang,38180.0,19010.0,19170.0,25720,12780,12930,8370,4240,4130,3320,1690,1620,780,290,490
KEBUN BAHRU,Ang Mo Kio,22630.0,10660.0,11970.0,18710,8780,9930,1820,890,930,1590,780,800,510,210,300
KEMBANGAN,Bedok,37470.0,18460.0,19010.0,26700,13140,13560,5870,2870,3010,3550,1820,1730,1340,630,710
KENT RIDGE,Queenstown,,,,-,-,-,-,-,-,-,-,-,-,-,-
KHATIB,Yishun,10250.0,4980.0,5270.0,7540,3660,3880,1430,700,730,980,490,490,300,130,170
KIAN TECK,Jurong West,,,,-,-,-,-,-,-,-,-,-,-,-,-
KIM KEAT,Toa Payoh,7970.0,3840.0,4130.0,6470,3120,3350,540,260,280,780,380,400,180,80,110
KOVAN,Hougang,24800.0,11960.0,12840.0,22240,10710,11520,550,260,290,1350,670,690,670,330,340
KRANJI,Sungei Kadut,,,,-,-,-,-,-,-,-,-,-,-,-,-
LAKESIDE (BUSINESS),Jurong East,,,,-,-,-,-,-,-,-,-,-,-,-,-
LAKESIDE (LEISURE),Jurong East,1070.0,570.0,500.0,910,480,430,40,20,20,80,50,40,40,20,20
LAVENDER,Kallang,9680.0,5070.0,4610.0,6740,3460,3290,840,450,390,1760,990,770,340,180,160
LEEDON PARK,Bukit Timah,6440.0,2960.0,3480.0,5120,2310,2810,70,20,40,410,200,220,850,430,420
LEONIE HILL,River Valley,3120.0,1430.0,1690.0,2030,920,1110,30,10,20,600,280,330,460,230,240
LIM CHU KANG,Lim Chu Kang,110.0,60.0,50.0,100,50,50,-,-,-,-,-,-,-,-,-
LITTLE INDIA,Rochor,3260.0,1680.0,1580.0,2410,1180,1230,40,20,20,780,460,320,40,20,20
LIU FANG,Boon Lay,,,,-,-,-,-,-,-,-,-,-,-,-,-
LORONG 8 TOA PAYOH,Toa Payoh,7150.0,3420.0,3730.0,5880,2820,3060,610,290,320,480,240,240,190,70,120
LORONG AH SOO,Hougang,32320.0,15270.0,17050.0,27060,12700,14350,2290,1140,1150,2360,1170,1190,620,260,360
LORONG CHUAN,Serangoon,8490.0,4090.0,4400.0,7640,3690,3950,50,20,30,470,230,240,320,150,180
LORONG HALUS,Hougang,,,,-,-,-,-,-,-,-,-,-,-,-,-
LORONG HALUS NORTH,Sengkang,,,,-,-,-,-,-,-,-,-,-,-,-,-
LOWER SELETAR,Yishun,18660.0,9240.0,9420.0,12890,6370,6520,3780,1910,1870,1510,770,740,480,190,290
LOYANG EAST,Pasir Ris,2140.0,1060.0,1080.0,1590,800,790,100,50,50,280,140,140,180,80,100
LOYANG WEST,Pasir Ris,220.0,100.0,120.0,190,80,100,10,10,10,10,-,-,10,-,-
MACKENZIE,Rochor,110.0,60.0,50.0,80,40,40,-,-,-,10,10,10,10,10,-
MACPHERSON,Geylang,28370.0,14070.0,14300.0,21240,10490,10750,3740,1880,1870,2750,1460,1290,630,240,390
MALCOLM,Novena,2950.0,1380.0,1570.0,2430,1130,1300,30,10,20,180,90,90,320,150,170
MANDAI EAST,Mandai,,,,-,-,-,-,-,-,-,-,-,-,-,-
MANDAI ESTATE,Mandai,2090.0,990.0,1100.0,1650,780,870,110,50,70,270,140,130,60,20,30
MANDAI WEST,Mandai,,,,-,-,-,-,-,-,-,-,-,-,-,-
MARGARET DRIVE,Queenstown,16090.0,7710.0,8380.0,13770,6540,7230,660,350,310,1110,570,540,550,260,300
MARINA CENTRE,Downtown Core,,,,-,-,-,-,-,-,-,-,-,-,-,-
MARINA EAST,Marina East,,,,-,-,-,-,-,-,-,-,-,-,-,-
MARINA EAST (MP),Marine Parade,,,,-,-,-,-,-,-,-,-,-,-,-,-
MARINA SOUTH,Marina South,,,,-,-,-,-,-,-,-,-,-,-,-,-
MARINE PARADE,Marine Parade,26880.0,12530.0,14350.0,19860,9080,10780,2940,1440,1490,2650,1320,1330,1430,690,750
MARITIME SQUARE,Bukit Merah,3620.0,1770.0,1850.0,2570,1230,1340,70,40,30,370,190,180,610,320,300
MARYMOUNT,Bishan,29620.0,14680.0,14940.0,25630,12700,12930,1020,500,530,2120,1070,1050,850,410,440
MATILDA,Punggol,52200.0,25610.0,26590.0,39660,19600,20060,7970,3860,4120,3360,1700,1660,1210,460,750
MAXWELL,Downtown Core,,,,-,-,-,-,-,-,-,-,-,-,-,-
MEI CHIN,Queenstown,15560.0,7350.0,8210.0,12180,5690,6490,1340,670,670,1640,810,830,410,190,230
MIDVIEW,Woodlands,35270.0,17660.0,17610.0,20870,10400,10470,9910,4940,4970,3760,1990,1780,740,330,400
MONK'S HILL,Newton,1030.0,520.0,510.0,770,390,380,10,-,10,120,60,60,140,70,70
MOULMEIN,Novena,9300.0,4720.0,4580.0,7940,4000,3940,70,30,40,600,320,270,700,370,330
MOUNT EMILY,Rochor,1630.0,770.0,860.0,1290,590,710,40,20,20,100,50,40,200,110,90
MOUNT PLEASANT,Novena,690.0,350.0,340.0,520,270,250,10,-,-,40,20,20,120,60,60
MOUNTBATTEN,Marine Parade,9980.0,4720.0,5260.0,7140,3360,3780,70,40,40,2220,1050,1170,550,280,270
MURAI,Western Water Catchment,640.0,290.0,350.0,510,220,290,-,-,-,70,40,30,60,30,30
NASSIM,Tanglin,9520.0,4410.0,5110.0,7460,3360,4100,110,50,60,710,370,350,1240,640,600
NATIONAL UNIVERSITY OF S'PORE,Queenstown,240.0,70.0,170.0,220,60,160,-,-,-,10,-,-,20,10,10
NATURE RESERVE,Bukit Panjang,3850.0,1810.0,2040.0,3170,1470,1710,80,30,50,300,150,150,300,160,140
NEE SOON,Yishun,890.0,440.0,450.0,780,380,400,20,10,10,60,30,30,30,20,10
NEWTON CIRCUS,Newton,250.0,140.0,110.0,180,100,80,-,-,-,20,10,10,50,30,20
NICOLL,Downtown Core,290.0,150.0,140.0,210,110,100,-,-,-,20,10,10,60,30,30
NORTH COAST,Woodlands,12100.0,6130.0,5970.0,6840,3490,3350,3450,1720,1730,1600,820,770,220,100,120
NORTH-EASTERN ISLANDS,North-Eastern Islands,,,,-,-,-,-,-,-,-,-,-,-,-,-
NORTHLAND,Yishun,28000.0,13930.0,14070.0,17750,8820,8940,6290,3130,3160,3000,1530,1470,970,460,510
NORTHSHORE,Punggol,450.0,230.0,220.0,370,190,180,30,20,20,30,20,10,20,10,10
ONE NORTH,Queenstown,720.0,350.0,370.0,460,220,250,-,-,-,50,30,20,200,100,100
ONE TREE HILL,River Valley,2060.0,910.0,1150.0,1450,630,830,10,-,10,290,130,160,310,150,160
ORANGE GROVE,Newton,1790.0,840.0,950.0,1200,540,660,20,10,10,170,80,90,410,210,190
OXLEY,River Valley,1490.0,670.0,820.0,1160,500,660,20,10,10,80,40,40,220,110,110
PANDAN,Clementi,,,,-,-,-,-,-,-,-,-,-,-,-,-
PANG SUA,Sungei Kadut,,,,-,-,-,-,-,-,-,-,-,-,-,-
PARK,Tengah,,,,-,-,-,-,-,-,-,-,-,-,-,-
PASIR PANJANG 1,Queenstown,4500.0,2200.0,2300.0,3890,1880,2010,40,20,20,270,150,130,300,160,140
PASIR PANJANG 2,Queenstown,3060.0,1490.0,1570.0,2520,1200,1310,60,40,30,220,120,100,260,140,130
PASIR RIS CENTRAL,Pasir Ris,32240.0,15750.0,16490.0,23710,11510,12190,4700,2290,2420,2630,1380,1250,1200,570,630
PASIR RIS DRIVE,Pasir Ris,54420.0,26940.0,27480.0,32300,15900,16400,15080,7520,7560,4840,2470,2370,2200,1040,1160
PASIR RIS PARK,Pasir Ris,7620.0,3760.0,3860.0,5960,2900,3060,790,400,390,560,290,270,320,180,150
PASIR RIS WAFER FAB PARK,Pasir Ris,,,,-,-,-,-,-,-,-,-,-,-,-,-
PASIR RIS WEST,Pasir Ris,35790.0,17720.0,18070.0,23710,11700,12010,7330,3660,3670,3410,1740,1680,1340,630,710
PATERSON,River Valley,240.0,110.0,130.0,170,70,100,10,-,-,30,20,10,40,20,20
PAYA LEBAR EAST,Paya Lebar,,,,-,-,-,-,-,-,-,-,-,-,-,-
PAYA LEBAR NORTH,Paya Lebar,,,,-,-,-,-,-,-,-,-,-,-,-,-
PAYA LEBAR WEST,Paya Lebar,,,,-,-,-,-,-,-,-,-,-,-,-,-
PEARL'S HILL,Outram,6120.0,3370.0,2750.0,4460,2450,2010,1070,570,500,480,300,180,100,40,60
PEI CHUN,Toa Payoh,10360.0,4940.0,5420.0,8620,4120,4500,820,380,450,610,320,290,310,120,180
PENG SIANG,Choa Chu Kang,34730.0,17340.0,17390.0,23160,11540,11610,6990,3510,3480,3730,1900,1830,860,390,460
PENJURU CRESCENT,Jurong East,,,,-,-,-,-,-,-,-,-,-,-,-,-
PEOPLE'S PARK,Outram,300.0,140.0,160.0,290,130,160,-,-,-,-,-,-,-,-,-
PHILLIP,Downtown Core,,,,-,-,-,-,-,-,-,-,-,-,-,-
PIONEER SECTOR,Pioneer,,,,-,-,-,-,-,-,-,-,-,-,-,-
PLAB,Paya Lebar,,,,-,-,-,-,-,-,-,-,-,-,-,-
PLANTATION,Tengah,,,,-,-,-,-,-,-,-,-,-,-,-,-
PORT,Queenstown,120.0,60.0,60.0,110,60,60,-,-,-,10,-,10,-,-,-
POTONG PASIR,Toa Payoh,11720.0,5660.0,6060.0,9750,4650,5100,520,270,260,1250,650,600,200,90,110
PULAU PUNGGOL BARAT,Seletar,,,,-,-,-,-,-,-,-,-,-,-,-,-
PULAU PUNGGOL TIMOR,Seletar,,,,-,-,-,-,-,-,-,-,-,-,-,-
PULAU SELETAR,Simpang,,,,-,-,-,-,-,-,-,-,-,-,-,-
PUNGGOL CANAL,Punggol,,,,-,-,-,-,-,-,-,-,-,-,-,-
PUNGGOL FIELD,Punggol,48960.0,24120.0,24840.0,37330,18370,18960,6010,2950,3060,4270,2210,2060,1350,590,760
PUNGGOL TOWN CENTRE,Punggol,22260.0,10920.0,11340.0,17040,8380,8660,3510,1750,1760,1140,570,570,580,220,350
QUEENSWAY,Queenstown,270.0,130.0,140.0,200,90,110,10,-,10,20,20,10,30,20,10
RAFFLES PLACE,Downtown Core,,,,-,-,-,-,-,-,-,-,-,-,-,-
REDHILL,Bukit Merah,10620.0,5150.0,5470.0,8530,4090,4450,860,430,430,900,490,420,330,150,180
RESERVOIR VIEW,Sungei Kadut,,,,-,-,-,-,-,-,-,-,-,-,-,-
RIDOUT,Tanglin,1520.0,690.0,830.0,1090,500,600,10,-,-,160,70,80,270,120,150
RIVERVALE,Sengkang,59690.0,29460.0,30230.0,44390,21990,22410,7200,3560,3650,6490,3220,3270,1610,700,910
ROBERTSON QUAY,Singapore River,3000.0,1390.0,1610.0,2130,950,1190,20,10,10,280,140,140,570,300,280
ROCHOR CANAL,Rochor,,,,-,-,-,-,-,-,-,-,-,-,-,-
SAFTI,Jurong West,,,,-,-,-,-,-,-,-,-,-,-,-,-
SAMULUN,Boon Lay,,,,-,-,-,-,-,-,-,-,-,-,-,-
SAUJANA,Bukit Panjang,25920.0,12830.0,13090.0,18540,9140,9400,4630,2350,2290,2250,1150,1100,510,200,310
SELEGIE,Rochor,210.0,110.0,100.0,130,70,60,-,-,-,60,30,30,20,10,10
SELETAR,Seletar,280.0,130.0,150.0,180,80,100,10,-,-,30,20,10,70,30,40
SELETAR AEROSPACE PARK,Seletar,,,,-,-,-,-,-,-,-,-,-,-,-,-
SELETAR HILLS,Serangoon,14710.0,7250.0,7460.0,13060,6430,6630,160,80,90,1030,530,500,460,210,240
SEMAKAU,Western Islands,,,,-,-,-,-,-,-,-,-,-,-,-,-
SEMBAWANG CENTRAL,Sembawang,34800.0,17060.0,17740.0,25130,12270,12860,5180,2550,2630,3180,1620,1560,1310,620,690
SEMBAWANG EAST,Sembawang,17340.0,8550.0,8790.0,10850,5430,5420,4610,2230,2380,1480,750,720,400,140,270
SEMBAWANG HILLS,Ang Mo Kio,6860.0,3210.0,3650.0,6100,2850,3250,70,40,40,460,210,250,220,110,110
SEMBAWANG NORTH,Sembawang,25540.0,12750.0,12790.0,17670,8760,8900,4220,2090,2120,2510,1360,1150,1150,530,610
SEMBAWANG SPRINGS,Sembawang,9090.0,4480.0,4610.0,7950,3930,4020,340,150,190,590,300,280,220,100,120
SEMBAWANG STRAITS,Sembawang,1910.0,980.0,930.0,1510,760,750,90,40,50,260,150,110,60,30,20
SENGKANG TOWN CENTRE,Sengkang,61790.0,30290.0,31500.0,48060,23540,24520,6420,3160,3250,5750,2930,2830,1560,660,900
SENGKANG WEST,Sengkang,,,,-,-,-,-,-,-,-,-,-,-,-,-
SENJA,Bukit Panjang,20180.0,9920.0,10260.0,14810,7330,7480,3360,1630,1730,1560,790,770,440,170,270
SENNETT,Toa Payoh,7200.0,3480.0,3720.0,6510,3130,3380,120,60,70,380,200,180,190,90,90
SENOKO NORTH,Sembawang,,,,-,-,-,-,-,-,-,-,-,-,-,-
SENOKO SOUTH,Sembawang,,,,-,-,-,-,-,-,-,-,-,-,-,-
SENOKO WEST,Woodlands,,,,-,-,-,-,-,-,-,-,-,-,-,-
SENTOSA,Southern Islands,1940.0,920.0,1020.0,1010,450,560,30,10,20,200,100,100,700,370,330
SERANGOON CENTRAL,Serangoon,24760.0,11800.0,12960.0,20750,9830,10920,1030,530,500,2420,1200,1220,560,240,320
SERANGOON GARDEN,Serangoon,36080.0,17220.0,18860.0,29920,14230,15690,1950,970,990,3180,1560,1620,1030,470,570
