Subzone,Planning Area,Population,Population_Males,Population_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
BOON KENG,Kallang,11790.0,5630.0,6160.0,9530.0,4540.0,4990.0,1090.0,540.0,550.0,890.0,430.0,460.0,280.0,120.0,160.0
BOON LAY PLACE,Jurong West,29330.0,15060.0,14270.0,19040.0,9760.0,9280.0,6840.0,3520.0,3320.0,2710.0,1470.0,1240.0,740.0,310.0,430.0
BOON TECK,Toa Payoh,14660.0,7210.0,7450.0,11280.0,5510.0,5770.0,2030.0,1020.0,1010.0,1020.0,540.0,480.0,340.0,150.0,200.0
BOULEVARD,Orchard,410.0,210.0,200.0,290.0,130.0,150.0,10.0,10.0,0.0,20.0,10.0,10.0,90.0,60.0,30.0
BRADDELL,Toa Payoh,9800.0,4590.0,5210.0,7650.0,3530.0,4120.0,1130.0,560.0,570.0,690.0,340.0,350.0,330.0,160.0,170.0
BRAS BASAH,Museum,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRICKLAND,Tengah,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRICKWORKS,Bukit Batok,19820.0,9800.0,10020.0,12620.0,6250.0,6360.0,5440.0,2730.0,2700.0,1380.0,690.0,690.0,380.0,120.0,260.0
BUGIS,Downtown Core,890.0,440.0,450.0,800.0,390.0,410.0,10.0,10.0,10.0,40.0,20.0,20.0,40.0,30.0,20.0
BUKIT BATOK CENTRAL,Bukit Batok,27290.0,13290.0,14000.0,20820.0,10100.0,10720.0,3520.0,1740.0,1780.0,2350.0,1180.0,1170.0,600.0,260.0,340.0
BUKIT BATOK EAST,Bukit Batok,12700.0,6290.0,6410.0,7850.0,3800.0,4050.0,2990.0,1510.0,1480.0,1590.0,860.0,730.0,270.0,110.0,150.0
BUKIT BATOK SOUTH,Bukit Batok,14930.0,7360.0,7570.0,11140.0,5450.0,5690.0,1780.0,880.0,910.0,1620.0,840.0,780.0,390.0,190.0,200.0
BUKIT BATOK WEST,Bukit Batok,15000.0,7300.0,7700.0,10450.0,5090.0,5360.0,2560.0,1240.0,1320.0,1680.0,850.0,830.0,310.0,120.0,190.0
BUKIT HO SWEE,Bukit Merah,14390.0,7050.0,7340.0,11570.0,5570.0,6000.0,1290.0,690.0,600.0,1160.0,620.0,540.0,380.0,180.0,200.0
BUKIT MERAH,Bukit Merah,1120.0,550.0,570.0,920.0,450.0,470.0,10.0,0.0,10.0,140.0,70.0,70.0,40.0,20.0,20.0
CAIRNHILL,Newton,3890.0,1830.0,2060.0,2910.0,1360.0,1550.0,30.0,10.0,20.0,360.0,160.0,200.0,580.0,300.0,290.0
CECIL,Downtown Core,260.0,130.0,130.0,190.0,90.0,100.0,0.0,0.0,0.0,10.0,10.0,10.0,50.0,30.0,20.0
CENTRAL SUBZONE,Downtown Core,880.0,410.0,470.0,650.0,300.0,350.0,10.0,0.0,0.0,60.0,30.0,30.0,160.0,80.0,90.0
CENTRAL WATER CATCHMENT,Central Water Catchment,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHANGI AIRPORT,Changi,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHANGI BAY,Changi Bay,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHANGI POINT,Changi,540.0,300.0,240.0,250.0,140.0,110.0,180.0,90.0,90.0,60.0,40.0,20.0,50.0,30.0,20.0
CHANGI WEST,Changi,1310.0,660.0,650.0,560.0,270.0,290.0,440.0,230.0,210.0,260.0,140.0,120.0,40.0,10.0,20.0
CHATSWORTH,Tanglin,6880.0,3190.0,3690.0,4770.0,2160.0,2610.0,70.0,30.0,40.0,1020.0,500.0,520.0,1030.0,510.0,520.0
CHENG SAN,Ang Mo Kio,28080.0,13480.0,14600.0,23240.0,11120.0,12120.0,1940.0,960.0,980.0,2280.0,1150.0,1130.0,610.0,250.0,370.0
CHIN BEE,Jurong West,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHINA SQUARE,Outram,1430.0,670.0,760.0,1390.0,650.0,740.0,0.0,0.0,0.0,20.0,10.0,10.0,20.0,10.0,10.0
CHINATOWN,Outram,10490.0,5040.0,5450.0,8780.0,4130.0,4650.0,570.0,310.0,260.0,790.0,410.0,380.0,350.0,190.0,170.0
CHOA CHU KANG CENTRAL,Choa Chu Kang,22520.0,11180.0,11340.0,17320.0,8570.0,8750.0,2870.0,1410.0,1460.0,1760.0,920.0,830.0,580.0,280.0,300.0
CHOA CHU KANG NORTH,Choa Chu Kang,31930.0,15860.0,16070.0,22490.0,11190.0,11300.0,5360.0,2650.0,2710.0,3160.0,1590.0,1580.0,910.0,440.0,480.0
CHONG BOON,Ang Mo Kio,26500.0,12860.0,13640.0,21860.0,10590.0,11270.0,1830.0,920.0,900.0,2240.0,1130.0,1110.0,580.0,220.0,360.0
CITY HALL,Downtown Core,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITY TERMINALS,Bukit Merah,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLARKE QUAY,Singapore River,120.0,70.0,50.0,80.0,40.0,40.0,0.0,0.0,0.0,10.0,10.0,0.0,40.0,20.0,10.0
CLEANTECH,Western Water Catchment,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEMENTI CENTRAL,Clementi,14000.0,6600.0,7400.0,11190.0,5250.0,5950.0,1420.0,690.0,730.0,940.0,470.0,480.0,440.0,200.0,250.0
CLEMENTI NORTH,Clementi,28810.0,13400.0,15410.0,23270.0,10740.0,12530.0,2760.0,1350.0,1420.0,1980.0,970.0,1020.0,790.0,340.0,450.0
CLEMENTI WEST,Clementi,15260.0,7310.0,7950.0,10940.0,5170.0,5770.0,2190.0,1100.0,1090.0,1700.0,850.0,850.0,440.0,200.0,240.0
CLEMENTI WOODS,Clementi,16000.0,7660.0,8340.0,12430.0,5880.0,6560.0,1630.0,820.0,810.0,1380.0,680.0,690.0,560.0,280.0,290.0
CLIFFORD PIER,Downtown Core,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMONWEALTH,Queenstown,7000.0,3230.0,3770.0,5250.0,2400.0,2850.0,1000.0,490.0,510.0,460.0,240.0,230.0,290.0,110.0,180.0
COMPASSVALE,Sengkang,20960.0,10170.0,10790.0,17830.0,8630.0,9200.0,1440.0,690.0,750.0,1290.0,670.0,620.0,400.0,180.0,220.0
CONEY ISLAND,Punggol,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORONATION ROAD,Bukit Timah,6700.0,3050.0,3650.0,5880.0,2690.0,3190.0,30.0,10.0,20.0,280.0,130.0,150.0,510.0,220.0,290.0
CRAWFORD,Kallang,8380.0,4630.0,3750.0,5670.0,3120.0,2550.0,1600.0,890.0,710.0,900.0,550.0,350.0,220.0,80.0,140.0
DAIRY FARM,Bukit Panjang,6940.0,3350.0,3590.0,5990.0,2890.0,3100.0,110.0,50.0,60.0,430.0,200.0,230.0,400.0,200.0,200.0
DEFU INDUSTRIAL PARK,Hougang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEPOT ROAD,Bukit Merah,6540.0,3090.0,3450.0,5290.0,2480.0,2820.0,170.0,80.0,90.0,780.0,390.0,390.0,300.0,140.0,160.0
DHOBY GHAUT,Museum,320.0,160.0,160.0,260.0,130.0,130.0,0.0,0.0,0.0,20.0,10.0,0.0,40.0,20.0,20.0
DOVER,Queenstown,11080.0,5260.0,5820.0,9260.0,4340.0,4920.0,470.0,240.0,240.0,940.0,480.0,450.0,410.0,200.0,210.0
DUNEARN,Novena,3950.0,1800.0,2150.0,3230.0,1440.0,1790.0,20.0,10.0,20.0,320.0,160.0,160.0,390.0,200.0,190.0
EAST COAST,Marine Parade,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVERTON PARK,Bukit Merah,7800.0,3680.0,4120.0,6240.0,2910.0,3330.0,420.0,220.0,190.0,810.0,390.0,420.0,340.0,160.0,180.0
FABER,Clementi,5360.0,2620.0,2740.0,4840.0,2370.0,2470.0,30.0,20.0,20.0,270.0,140.0,130.0,230.0,110.0,130.0
FAJAR,Bukit Panjang,27820.0,13870.0,13950.0,18950.0,9380.0,9570.0,5950.0,3070.0,2880.0,2270.0,1150.0,1120.0,650.0,270.0,370.0
FARRER COURT,Bukit Timah,6180.0,2900.0,3280.0,5430.0,2540.0,2890.0,90.0,40.0,50.0,270.0,130.0,140.0,390.0,190.0,200.0
FARRER PARK,Rochor,2660.0,1350.0,1310.0,1860.0,920.0,940.0,70.0,30.0,40.0,680.0,390.0,290.0,60.0,20.0,40.0
FERNVALE,Sengkang,58810.0,28860.0,29950.0,45220.0,22190.0,23030.0,8140.0,4070.0,4080.0,3970.0,2030.0,1940.0,1470.0,570.0,900.0
FLORA DRIVE,Pasir Ris,14670.0,7200.0,7470.0,11330.0,5490.0,5840.0,1350.0,650.0,700.0,1400.0,730.0,670.0,590.0,330.0,260.0
FOREST HILL,Tengah,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORT CANNING,Museum,180.0,90.0,90.0,90.0,40.0,60.0,0.0,0.0,0.0,20.0,10.0,10.0,70.0,40.0,30.0
FRANKEL,Bedok,34490.0,16260.0,18230.0,28300.0,13180.0,15120.0,1040.0,460.0,590.0,2730.0,1390.0,1340.0,2420.0,1240.0,1180.0
GALI BATU,Sungei Kadut,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARDEN,Tengah,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEYLANG BAHRU,Kallang,11280.0,5620.0,5660.0,8480.0,4180.0,4300.0,1310.0,670.0,640.0,1310.0,710.0,600.0,180.0,60.0,120.0
GEYLANG EAST,Geylang,29920.0,14540.0,15380.0,22210.0,10720.0,11490.0,4100.0,2000.0,2100.0,2520.0,1290.0,1230.0,1100.0,530.0,570.0
GHIM MOH,Queenstown,13850.0,6470.0,7380.0,11170.0,5170.0,6010.0,1460.0,710.0,750.0,840.0,420.0,430.0,370.0,180.0,190.0
GOMBAK,Bukit Batok,9930.0,4840.0,5090.0,8430.0,4120.0,4310.0,560.0,260.0,300.0,670.0,340.0,330.0,260.0,130.0,140.0
GOODWOOD PARK,Newton,1260.0,600.0,660.0,1020.0,480.0,540.0,0.0,0.0,0.0,70.0,40.0,30.0,160.0,80.0,80.0
GREENWOOD PARK,Woodlands,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUILIN,Bukit Batok,12940.0,6290.0,6650.0,8910.0,4290.0,4620.0,1960.0,960.0,1000.0,1600.0,810.0,780.0,470.0,220.0,240.0
GUL BASIN,Pioneer,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUL CIRCLE,Pioneer,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HENDERSON HILL,Bukit Merah,13320.0,6490.0,6830.0,10240.0,4990.0,5250.0,1480.0,730.0,750.0,1240.0,620.0,610.0,370.0,150.0,220.0
HILLCREST,Bukit Timah,9470.0,4170.0,5300.0,7890.0,3460.0,4430.0,60.0,10.0,50.0,580.0,260.0,320.0,950.0,440.0,510.0
HILLVIEW,Bukit Batok,19290.0,9290.0,10000.0,16680.0,7960.0,8720.0,340.0,160.0,180.0,1210.0,600.0,610.0,1070.0,580.0,500.0
HOLLAND DRIVE,Queenstown,12680.0,5760.0,6920.0,10630.0,4770.0,5870.0,960.0,440.0,520.0,620.0,320.0,300.0,460.0,230.0,230.0
HOLLAND ROAD,Bukit Timah,10840.0,4800.0,6040.0,9350.0,4100.0,5250.0,60.0,20.0,40.0,510.0,240.0,270.0,920.0,440.0,490.0
HONG KAH,Jurong West,53880.0,26650.0,27230.0,36750.0,18080.0,18670.0,10240.0,5090.0,5160.0,5690.0,2970.0,2720.0,1200.0,510.0,690.0
HONG KAH NORTH,Bukit Batok,26150.0,13030.0,13120.0,16580.0,8260.0,8320.0,6100.0,3040.0,3060.0,2840.0,1470.0,1380.0,640.0,270.0,370.0
HOUGANG CENTRAL,Hougang,4720.0,2350.0,2370.0,4130.0,2070.0,2060.0,200.0,100.0,100.0,340.0,160.0,180.0,60.0,30.0,30.0
HOUGANG EAST,Hougang,24920.0,12110.0,12810.0,20400.0,9940.0,10460.0,2010.0,970.0,1040.0,2020.0,1010.0,1010.0,490.0,190.0,300.0
HOUGANG WEST,Hougang,45460.0,22410.0,23050.0,36270.0,17850.0,18420.0,4390.0,2200.0,2190.0,3930.0,2010.0,1920.0,870.0,350.0,520.0
INSTITUTION HILL,River Valley,3150.0,1500.0,1650.0,2210.0,1040.0,1170.0,20.0,10.0,20.0,490.0,240.0,250.0,430.0,210.0,210.0
INTERNATIONAL BUSINESS PARK,Jurong East,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISTANA NEGARA,Newton,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JELEBU,Bukit Panjang,31310.0,15370.0,15940.0,24700.0,12100.0,12610.0,3770.0,1880.0,1880.0,2100.0,1060.0,1050.0,740.0,340.0,400.0
JOO KOON,Pioneer,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOO SENG,Toa Payoh,8150.0,4030.0,4120.0,7110.0,3510.0,3610.0,250.0,130.0,120.0,590.0,300.0,290.0,210.0,100.0,110.0
JURONG GATEWAY,Jurong East,450.0,210.0,240.0,410.0,190.0,220.0,0.0,0.0,0.0,30.0,10.0,10.0,10.0,10.0,10.0
JURONG ISLAND AND BUKOM,Western Islands,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JURONG PORT,Jurong East,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JURONG RIVER,Jurong East,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JURONG WEST CENTRAL,Jurong West,63760.0,31810.0,31950.0,49000.0,24360.0,24640.0,7450.0,3750.0,3700.0,5290.0,2770.0,2520.0,2030.0,940.0,1090.0
KAKI BUKIT,Bedok,37150.0,18210.0,18940.0,24060.0,11710.0,12350.0,8710.0,4310.0,4410.0,3380.0,1750.0,1630.0,990.0,440.0,550.0
KALLANG BAHRU,Kallang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KALLANG WAY,Geylang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAMPONG BUGIS,Kallang,920.0,460.0,460.0,760.0,380.0,380.0,40.0,20.0,30.0,100.0,60.0,40.0,20.0,10.0,10.0
KAMPONG GLAM,Rochor,120.0,80.0,40.0,40.0,20.0,20.0,10.0,10.0,10.0,60.0,40.0,20.0,10.0,10.0,0.0
KAMPONG JAVA,Kallang,10530.0,5140.0,5390.0,8220.0,3980.0,4230.0,330.0,150.0,180.0,1580.0,830.0,750.0,400.0,170.0,230.0
KAMPONG TIONG BAHRU,Bukit Merah,9000.0,4440.0,4560.0,6900.0,3390.0,3510.0,960.0,520.0,440.0,930.0,470.0,470.0,220.0,80.0,140.0
KAMPONG UBI,Geylang,11800.0,5890.0,5910.0,8110.0,4030.0,4080.0,2340.0,1180.0,1150.0,1030.0,540.0,480.0,330.0,130.0,190.0
KANGKAR,Hougang,32280.0,15740.0,16540.0,26340.0,12870.0,13470.0,2470.0,1190.0,1280.0,2730.0,1380.0,1350.0,750.0,310.0,440.0
KATONG,Marine Parade,9350.0,4440.0,4910.0,8050.0,3760.0,4290.0,110.0,60.0,60.0,650.0,340.0,310.0,550.0,290.0,250.0
KEAT HONG,Choa Chu Kang,38180.0,19010.0,19170.0,25720.0,12780.0,12930.0,8370.0,4240.0,4130.0,3320.0,1690.0,1620.0,780.0,290.0,490.0
KEBUN BAHRU,Ang Mo Kio,22630.0,10660.0,11970.0,18710.0,8780.0,9930.0,1820.0,890.0,930.0,1590.0,780.0,800.0,510.0,210.0,300.0
KEMBANGAN,Bedok,37470.0,18460.0,19010.0,26700.0,13140.0,13560.0,5870.0,2870.0,3010.0,3550.0,1820.0,1730.0,1340.0,630.0,710.0
KENT RIDGE,Queenstown,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHATIB,Yishun,10250.0,4980.0,5270.0,7540.0,3660.0,3880.0,1430.0,700.0,730.0,980.0,490.0,490.0,300.0,130.0,170.0
KIAN TECK,Jurong West,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIM KEAT,Toa Payoh,7970.0,3840.0,4130.0,6470.0,3120.0,3350.0,540.0,260.0,280.0,780.0,380.0,400.0,180.0,80.0,110.0
KOVAN,Hougang,24800.0,11960.0,12840.0,22240.0,10710.0,11520.0,550.0,260.0,290.0,1350.0,670.0,690.0,670.0,330.0,340.0
KRANJI,Sungei Kadut,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAKESIDE (BUSINESS),Jurong East,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAKESIDE (LEISURE),Jurong East,1070.0,570.0,500.0,910.0,480.0,430.0,40.0,20.0,20.0,80.0,50.0,40.0,40.0,20.0,20.0
LAVENDER,Kallang,9680.0,5070.0,4610.0,6740.0,3460.0,3290.0,840.0,450.0,390.0,1760.0,990.0,770.0,340.0,180.0,160.0
LEEDON PARK,Bukit Timah,6440.0,2960.0,3480.0,5120.0,2310.0,2810.0,70.0,20.0,40.0,410.0,200.0,220.0,850.0,430.0,420.0
LEONIE HILL,River Valley,3120.0,1430.0,1690.0,2030.0,920.0,1110.0,30.0,10.0,20.0,600.0,280.0,330.0,460.0,230.0,240.0
LIM CHU KANG,Lim Chu Kang,110.0,60.0,50.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LITTLE INDIA,Rochor,3260.0,1680.0,1580.0,2410.0,1180.0,1230.0,40.0,20.0,20.0,780.0,460.0,320.0,40.0,20.0,20.0
LIU FANG,Boon Lay,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORONG 8 TOA PAYOH,Toa Payoh,7150.0,3420.0,3730.0,5880.0,2820.0,3060.0,610.0,290.0,320.0,480.0,240.0,240.0,190.0,70.0,120.0
LORONG AH SOO,Hougang,32320.0,15270.0,17050.0,27060.0,12700.0,14350.0,2290.0,1140.0,1150.0,2360.0,1170.0,1190.0,620.0,260.0,360.0
LORONG CHUAN,Serangoon,8490.0,4090.0,4400.0,7640.0,3690.0,3950.0,50.0,20.0,30.0,470.0,230.0,240.0,320.0,150.0,180.0
LORONG HALUS,Hougang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORONG HALUS NORTH,Sengkang,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOWER SELETAR,Yishun,18660.0,9240.0,9420.0,12890.0,6370.0,6520.0,3780.0,1910.0,1870.0,1510.0,770.0,740.0,480.0,190.0,290.0
LOYANG EAST,Pasir Ris,2140.0,1060.0,1080.0,1590.0,800.0,790.0,100.0,50.0,50.0,280.0,140.0,140.0,180.0,80.0,100.0
LOYANG WEST,Pasir Ris,220.0,100.0,120.0,190.0,80.0,100.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0
MACKENZIE,Rochor,110.0,60.0,50.0,80.0,40.0,40.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0
MACPHERSON,Geylang,28370.0,14070.0,14300.0,21240.0,10490.0,10750.0,3740.0,1880.0,1870.0,2750.0,1460.0,1290.0,630.0,240.0,390.0
MALCOLM,Novena,2950.0,1380.0,1570.0,2430.0,1130.0,1300.0,30.0,10.0,20.0,180.0,90.0,90.0,320.0,150.0,170.0
MANDAI EAST,Mandai,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANDAI ESTATE,Mandai,2090.0,990.0,1100.0,1650.0,780.0,870.0,110.0,50.0,70.0,270.0,140.0,130.0,60.0,20.0,30.0
MANDAI WEST,Mandai,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARGARET DRIVE,Queenstown,16090.0,7710.0,8380.0,13770.0,6540.0,7230.0,660.0,350.0,310.0,1110.0,570.0,540.0,550.0,260.0,300.0
MARINA CENTRE,Downtown Core,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINA EAST,Marina East,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINA EAST (MP),Marine Parade,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINA SOUTH,Marina South,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINE PARADE,Marine Parade,26880.0,12530.0,14350.0,19860.0,9080.0,10780.0,2940.0,1440.0,1490.0,2650.0,1320.0,1330.0,1430.0,690.0,750.0
MARITIME SQUARE,Bukit Merah,3620.0,1770.0,1850.0,2570.0,1230.0,1340.0,70.0,40.0,30.0,370.0,190.0,180.0,610.0,320.0,300.0
MARYMOUNT,Bishan,29620.0,14680.0,14940.0,25630.0,12700.0,12930.0,1020.0,500.0,530.0,2120.0,1070.0,1050.0,850.0,410.0,440.0
MATILDA,Punggol,52200.0,25610.0,26590.0,39660.0,19600.0,20060.0,7970.0,3860.0,4120.0,3360.0,1700.0,1660.0,1210.0,460.0,750.0
MAXWELL,Downtown Core,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEI CHIN,Queenstown,15560.0,7350.0,8210.0,12180.0,5690.0,6490.0,1340.0,670.0,670.0,1640.0,810.0,830.0,410.0,190.0,230.0
MIDVIEW,Woodlands,35270.0,17660.0,17610.0,20870.0,10400.0,10470.0,9910.0,4940.0,4970.0,3760.0,1990.0,1780.0,740.0,330.0,400.0
MONK'S HILL,Newton,1030.0,520.0,510.0,770.0,390.0,380.0,10.0,0.0,10.0,120.0,60.0,60.0,140.0,70.0,70.0
MOULMEIN,Novena,9300.0,4720.0,4580.0,7940.0,4000.0,3940.0,70.0,30.0,40.0,600.0,320.0,270.0,700.0,370.0,330.0
MOUNT EMILY,Rochor,1630.0,770.0,860.0,1290.0,590.0,710.0,40.0,20.0,20.0,100.0,50.0,40.0,200.0,110.0,90.0
MOUNT PLEASANT,Novena,690.0,350.0,340.0,520.0,270.0,250.0,10.0,0.0,0.0,40.0,20.0,20.0,120.0,60.0,60.0
